customer_id,product_id,type,action_hour,gender,action_time,category
1068082,5924,PageView,13,W,2018-04-01 13:56:00,Badminton
1068082,10723,PageView,13,W,2018-04-01 13:45:00,Badminton
25559,84152,PageView,23,W,2018-04-15 23:57:00,Foundation Make-up
319978,168054,PageView,15,W,2018-04-04 15:14:00,Notebook
77328,104400,PageView,22,M,2018-04-15 22:20:00,Tea
1497969,257682,PageView,18,M,2018-04-07 18:42:00,Necklace
531717,250399,PageView,13,M,2018-04-15 13:38:00,Phone
788223,354419,PageView,21,M,2018-04-07 21:19:00,Necklace
1573433,70859,PageView,16,M,2018-04-13 16:25:00,Phone
1446386,157223,PageView,9,W,2018-04-14 09:11:00,Phone
1304689,3901,PageView,12,W,2018-04-04 12:08:00,Facial Moisturizer
1374259,366763,PageView,22,M,2018-04-01 22:20:00,Tablet
518489,62538,PageView,12,M,2018-04-11 12:07:00,Tablet
702330,24092,PageView,21,W,2018-04-03 21:55:00,Phone
702330,229424,PageView,21,W,2018-04-03 21:27:00,Phone
692570,254279,PageView,0,W,2018-04-10 00:17:00,Bracelet
1329063,43235,PageView,22,M,2018-04-14 22:25:00,Milk Power
1175571,116794,PageView,10,M,2018-04-14 10:53:00,Coat
810248,268541,PageView,14,M,2018-04-07 14:13:00,Eye Shadow
525679,178056,PageView,18,M,2018-04-06 18:35:00,Phone
1066490,96529,PageView,0,M,2018-04-05 00:11:00,Phone
722707,306765,PageView,16,M,2018-04-04 16:18:00,Makerup Water
688840,165306,PageView,5,W,2018-04-12 05:07:00,Potatio Chips
722580,173739,PageView,12,W,2018-04-11 12:25:00,Facial Mask
329742,80170,PageView,8,W,2018-04-14 08:21:00,Makerup Water
1472198,202766,PageView,15,W,2018-04-06 15:27:00,Phone
1566708,61944,PageView,22,M,2018-04-06 22:02:00,Candy
1526561,325371,PageView,14,W,2018-04-08 14:05:00,Phone
782873,295344,PageView,9,W,2018-04-10 09:48:00,Phone
553315,126121,PageView,10,W,2018-04-06 10:20:00,Rice Cooker
1245409,304552,PageView,23,M,2018-04-13 23:45:00,Phone
1105061,211308,PageView,14,W,2018-04-07 14:18:00,Rice Cooker
675363,343178,PageView,22,W,2018-04-02 22:26:00,Phone
1500302,230459,PageView,23,M,2018-04-02 23:38:00,Phone
59210,73384,PageView,19,M,2018-04-11 19:11:00,Tablet
1563340,115931,PageView,20,W,2018-04-09 20:27:00,Tea
906676,298322,PageView,8,W,2018-04-12 08:31:00,Bracelet
716462,329929,PageView,15,W,2018-04-15 15:43:00,Phone
716717,326628,PageView,21,M,2018-04-02 21:21:00,Induction Cooker
144707,82249,PageView,17,M,2018-04-11 17:12:00,Necklace
105706,148129,PageView,12,W,2018-04-15 12:20:00,Tea
1026520,155222,PageView,10,M,2018-04-05 10:27:00,Washing Machine
888483,157223,PageView,13,W,2018-04-09 13:13:00,Phone
65287,208464,PageView,13,W,2018-04-06 13:58:00,Phone
923437,248899,PageView,6,M,2018-04-15 06:04:00,Necklace
936737,157682,PageView,13,W,2018-04-08 13:01:00,Phone
344523,149912,PageView,9,M,2018-04-08 09:14:00,Phone
1519340,157361,PageView,7,W,2018-04-06 07:25:00,Cookie
641222,86463,PageView,13,W,2018-04-15 13:53:00,Badminton
124421,356089,PageView,10,M,2018-04-01 10:38:00,Phone
11862,266455,PageView,14,M,2018-04-06 14:50:00,Bed
11862,72685,PageView,22,M,2018-04-14 22:38:00,Phone
1175315,74069,PageView,20,W,2018-04-07 20:43:00,Phone
768708,81731,PageView,1,M,2018-04-13 01:49:00,Cookie
